iter	Logloss	AUC	Accuracy
53	0.5639441122	0.8003670871	0.7164534928
54	0.5630836981	0.8009568155	0.7169785439
55	0.5623358476	0.8012821376	0.7170211156
56	0.5615636441	0.8016212285	0.7174988648
57	0.5608499028	0.8021730185	0.7179955347
58	0.5601820221	0.802626878	0.7185205858
59	0.5595200912	0.80296278	0.7188706198
60	0.5588288183	0.8033373952	0.719074018
61	0.5581496665	0.8037517965	0.7193956709
62	0.5575384003	0.8040665984	0.7196700219
63	0.5568437275	0.8046337366	0.7199159918
64	0.5562477606	0.8049910665	0.7203700901
65	0.5555388603	0.8055365682	0.7207579656
66	0.5548236038	0.8058320284	0.7208620298
67	0.5542149245	0.80623281	0.7211789525
68	0.5536377674	0.8067581058	0.7219452433
69	0.5529814905	0.807204932	0.7221486415
70	0.5524464247	0.8075226843	0.7225459774
71	0.5518702284	0.8080556393	0.7229527738
72	0.5511994653	0.8085261583	0.7234163324
73	0.5506721969	0.8089269102	0.7238657004
74	0.550140494	0.8093485832	0.7241353213
75	0.5495497746	0.8096313477	0.7244569742
76	0.5490590174	0.8099323511	0.7246083403
77	0.5484835233	0.8102357388	0.7247407856
78	0.5479769125	0.8106301725	0.7253651707
79	0.5475082172	0.8109950125	0.7255023462
80	0.5470340526	0.811462611	0.7259422538
81	0.5464689797	0.8118581474	0.7263868917
82	0.5459805876	0.8121623099	0.7264578445
83	0.5455211309	0.8125499189	0.7268126088
84	0.5450413493	0.812892735	0.7271721032
85	0.5445679238	0.8130930066	0.7273045486
86	0.5441046238	0.8132790923	0.7275599788
87	0.5436544797	0.8137246966	0.7281181412
88	0.5432218521	0.8139108121	0.7283688413
89	0.5428449151	0.8142015338	0.7287377961
90	0.542412694	0.8144745827	0.7288891622
91	0.541994257	0.8148025274	0.7292723076
92	0.5416078226	0.8150388896	0.7294236737
93	0.5411879443	0.8153470755	0.7298020889
94	0.540826713	0.8157276809	0.7300811701
95	0.5403718388	0.8160353601	0.7303555211
96	0.5399313768	0.8162684739	0.7304879664
97	0.5395625328	0.8165244758	0.7307670476
98	0.53920581	0.8167720437	0.730875842
99	0.5387925835	0.8170785308	0.7313157496
100	0.5384324239	0.8173220754	0.7314103534
101	0.5380534544	0.8176118731	0.7316515931
102	0.5376486167	0.8178737462	0.7318644517
103	0.5372016507	0.8181247413	0.7321435329
104	0.5368648833	0.8184416592	0.7324888368
105	0.5365108212	0.8187386394	0.7329003633
106	0.536183699	0.81902197	0.7331747143
107	0.5358027339	0.81921193	0.733217286
108	0.5354675926	0.8193835914	0.7334679861
109	0.535103368	0.8197288513	0.7338132899
110	0.5347670071	0.8198451102	0.7340592598
111	0.5344261747	0.8200354576	0.7339031636
112	0.5340836794	0.8202456534	0.7343004995
113	0.5337563725	0.8204934001	0.7345843109
114	0.5334292503	0.8207155764	0.7347025657
115	0.5331096298	0.8209646642	0.7348681223
116	0.5327924854	0.8211628497	0.7348917733
117	0.5325039808	0.8213962018	0.7351424733
118	0.5322062005	0.8216684759	0.735407364
119	0.5319018423	0.8218952119	0.7358141603
120	0.5316218742	0.8221535385	0.7359939075
121	0.5313036211	0.8223591447	0.7361831151
122	0.5310201054	0.8224887252	0.7362635283
123	0.5307091323	0.8226948678	0.7363108302
124	0.5304332292	0.8228393495	0.7365426096
125	0.5301472745	0.8230477571	0.7365615303
126	0.5299010089	0.8233251274	0.7368264209
127	0.5296134282	0.823520273	0.7371811852
128	0.5293084787	0.8236912191	0.7373656626
129	0.529012768	0.823843509	0.7373420117
130	0.5287425928	0.8240713179	0.7377771891
131	0.5284880495	0.8242647946	0.7380042383
132	0.528230365	0.8244139552	0.738098842
133	0.5279606702	0.8245488703	0.738122493
134	0.5277091572	0.8247327209	0.7384110346
135	0.5274230176	0.8249085844	0.7386333535
136	0.5272004031	0.8251207769	0.7389550064
137	0.5269466358	0.8252588511	0.7389266253
138	0.5266952336	0.8253756464	0.7389739272
139	0.5264004097	0.8255098462	0.738893514
140	0.5261329322	0.8257133961	0.7392151669
141	0.525852262	0.8259508014	0.7394753273
142	0.5256230325	0.8261322379	0.739640884
143	0.525408548	0.8263340592	0.739839552
144	0.5251705603	0.8265289366	0.739815901
145	0.5249105846	0.8266742229	0.7399578067
146	0.5246649843	0.8268172443	0.7402463483
147	0.5243593327	0.8270808458	0.740563271
148	0.5241380855	0.8272136152	0.7407051767
149	0.5238791445	0.8273874521	0.740686256
150	0.5236618884	0.8275707662	0.7410268296
151	0.523447293	0.8277424276	0.7411025127
152	0.523214442	0.8279388249	0.7412633391
153	0.5230185456	0.8281229734	0.7414856581
154	0.5227907574	0.8283036053	0.7418309619
155	0.5225821486	0.8283862174	0.7418167714
156	0.5223249076	0.8286093473	0.7420627412
157	0.5221278287	0.8287083805	0.7422141073
158	0.5219117181	0.8288337588	0.7422188375
159	0.5217092068	0.8290175498	0.7424979187
160	0.5215190015	0.8291942775	0.742729698
161	0.5212869265	0.829313159	0.7427628094
162	0.5210622055	0.8294521868	0.7428810641
163	0.5208565531	0.8295276165	0.7429567471
164	0.520639334	0.8296813965	0.7430797321
165	0.5204107697	0.8298281431	0.7431979868
166	0.5201808012	0.8298953772	0.7433824642
167	0.5199703447	0.8300145566	0.7434061152
168	0.5197813218	0.8301672041	0.7433446227
169	0.5195964379	0.8303107917	0.7435338303
170	0.5194081542	0.8304228783	0.7435574813
171	0.5191855766	0.8305922449	0.7439122455
172	0.5189781873	0.8307680786	0.7439926587
173	0.5187815518	0.8308741748	0.744248089
174	0.5185658478	0.8309672177	0.7444704079
175	0.5183820356	0.8311115205	0.7445839325
176	0.5182201005	0.8312315345	0.7446927269
177	0.5180406119	0.8313161135	0.744697457
178	0.5178652254	0.8314333558	0.7447021872
179	0.5176603121	0.8315406144	0.7447447589
180	0.5174579486	0.8316305876	0.7448299024
181	0.5172813795	0.8317794204	0.7449623477
182	0.517097789	0.831835866	0.7449386967
183	0.5169226241	0.8319674432	0.7448772043
184	0.5167650866	0.8320878148	0.7452225081
185	0.5165899218	0.8321968913	0.7453549535
186	0.5164170112	0.8323309422	0.7453786044
187	0.5162194149	0.8324300647	0.7455394309
188	0.5160016783	0.83256495	0.7455394309
189	0.5158128403	0.8327117264	0.7457144479
190	0.5156394123	0.8327735662	0.74576648
191	0.5154597759	0.8329022527	0.7459131159
192	0.5152825047	0.8330028653	0.7459225763
193	0.515118574	0.8331098855	0.7461685461
194	0.5149607039	0.8332304657	0.746239499
195	0.5147960712	0.8333411515	0.746338833
196	0.5146215345	0.8334792852	0.746490199
197	0.5144410113	0.8335583508	0.7466321047
198	0.5142675094	0.8336919248	0.7467314387
199	0.514093601	0.8337819874	0.746911186
200	0.5139420132	0.8338894546	0.7468969954
201	0.513728083	0.8339976072	0.7470341709
202	0.5135552463	0.8340920806	0.7471666162
203	0.513411345	0.8341729939	0.7472281087
204	0.5131742442	0.8342719376	0.7474267767
205	0.5130233586	0.8343663812	0.747459888
206	0.5128677797	0.8344539106	0.7475166503
207	0.512706325	0.8345670402	0.7477673503
208	0.5125734732	0.8346796334	0.7478241126
209	0.5124338956	0.8347802162	0.7478714145
210	0.5122910291	0.8348540366	0.747909256
211	0.5121313852	0.8349529505	0.7480890033
212	0.5120021549	0.8350457847	0.7482924014
213	0.5118548908	0.8351513147	0.7483207826
214	0.5117063333	0.8352137208	0.7482025278
215	0.5115650188	0.8353105187	0.7484153864
216	0.511412655	0.8353997767	0.7486424355
217	0.51123106	0.8354811668	0.7485856732
218	0.5110897826	0.8355823159	0.7487133883
219	0.5109345362	0.8357021809	0.7487181185
220	0.5107772944	0.8358025551	0.7488221827
221	0.5106340953	0.8359106183	0.7488694846
222	0.5104745622	0.8360216022	0.7489262469
223	0.5103105577	0.836140275	0.7490303111
224	0.51016455	0.8362450004	0.7491958677
225	0.5100401608	0.8363141418	0.7491674866
226	0.5099046852	0.8364188075	0.7493235828
227	0.5097349527	0.8364833891	0.7493188526
228	0.5095962251	0.836589247	0.7493850753
229	0.5094529521	0.8367113471	0.7494985999
230	0.509260862	0.8368398249	0.749626315
231	0.5091383944	0.8368967772	0.7497398396
232	0.5090030666	0.8369994164	0.749900666
233	0.5088722104	0.8371067643	0.7500520321
234	0.5087474147	0.8371811211	0.7501277151
235	0.5086134912	0.8372645974	0.7501844774
236	0.5084681487	0.8373559713	0.7502932718
237	0.5083144545	0.8374690413	0.7506007341
238	0.5081670795	0.8375582099	0.750572353
239	0.5080345972	0.8376697004	0.7507047983
